station,lon,lat
,121.506256,31.262338
,121.506634,31.26204
大连路,121.506908,31.26179
,121.508937,31.259471
,121.509249,31.259114
,121.509952,31.258255
,121.51053,31.257444
,121.511429,31.256034
杨树浦路,121.512188,31.254699
,121.512756,31.253621
,121.513491,31.252207
,121.513644,31.25182
,121.513804,31.250997
,121.51401,31.249843
,121.514756,31.244911
,121.514817,31.244036
,121.514816,31.243554
浦东大道,121.514842,31.242933
,121.514916,31.242447
,121.514995,31.241977
,121.515066,31.241692
,121.515129,31.241473
,121.515331,31.240972
,121.515637,31.240385
,121.51633,31.239356
,121.516852,31.238572
,121.517419,31.237612
,121.518722,31.235065
,121.519138,31.234285
,121.519745,31.233321
,121.520103,31.232866
,121.520739,31.232278
,121.521521,31.231735
世纪大道,121.522754,31.230978
,121.523152,31.230766
,121.523541,31.230542
,121.524959,31.229724
,121.525298,31.229488
,121.525485,31.229327
,121.525812,31.228916
,121.526038,31.228554
,121.526255,31.228147
,121.526476,31.227646
浦电路,121.527249,31.225921
,121.527867,31.224358
,121.527936,31.222765
,121.526991,31.220123
,121.524846,31.215865
,121.523856,31.21398
蓝村路,121.522972,31.212296
,121.52258,31.211549
,121.521824,31.21069
,121.521052,31.21014
,121.520444,31.210047
,121.519421,31.210051
,121.517275,31.210492
塘桥,121.513974,31.21169
,121.512014,31.212525
,121.508734,31.213798
,121.505996,31.215369
,121.505255,31.21567
,121.50456,31.215848
,121.503979,31.215871
,121.503341,31.215765
,121.502864,31.215604
,121.502428,31.215404
,121.502062,31.21518
,121.500156,31.213587
,121.499503,31.213031
,121.498979,31.212622
,121.498437,31.21227
,121.497735,31.211909
,121.496699,31.211365
,121.495078,31.210444
南浦大桥,121.494224,31.209978
,121.493069,31.209204
,121.487879,31.205454
,121.485648,31.203854
,121.485145,31.203653
西藏南路,121.484599,31.203509
,121.482964,31.203075
,121.480301,31.203031
,121.478069,31.202694
,121.473245,31.201688
,121.47064,31.201126
鲁班路,121.468482,31.20066
,121.464593,31.199412
,121.462448,31.198333
,121.461074,31.197283
,121.459233,31.196126
大木桥路,121.459076,31.196052
,121.455667,31.194677
东安路,121.450173,31.192603
,121.447079,31.191378
,121.443741,31.190056
,121.442508,31.189644
,121.440698,31.188729
,121.439102,31.187408
上海体育场,121.43857,31.186968
,121.437666,31.186544
,121.437459,31.18641
,121.437003,31.186112
,121.43678,31.185976
,121.436557,31.185867
,121.436151,31.185709
,121.435466,31.185491
,121.43461,31.185218
,121.433807,31.184994
,121.433339,31.184863
,121.432887,31.184767
,121.431804,31.184579
上海体育馆,121.431447,31.184538
,121.430977,31.184498
,121.430404,31.184472
,121.429728,31.184472
,121.429194,31.184503
,121.428796,31.184544
,121.428376,31.18461
,121.427994,31.184705
,121.427679,31.184808
,121.427369,31.184922
