htv_demand_order_dm.deviceid	htv_demand_order_dm.film_not_order	htv_demand_order_dm.tv_not_order	htv_demand_order_dm.child_not_order	htv_demand_order_dm.date_time
005801FF0001005005D300692D37F418	0	1	0	20210901
005801FF0001005005D300692D37F480	0	1	0	20210901
005801FF0001005005D300692D37F4DB	0	1	0	20210901
005801FF0001005005D300692D37F4DC	1	0	0	20210901
005801FF0001005005D300692D37F6AF	0	1	0	20210901
005801FF0001005005D300692D37F6E9	1	1	0	20210901
005801FF0001005005D300692D37F776	0	1	0	20210901
005801FF0001005005D300692D37F7F5	1	0	1	20210901
005801FF0001005005D300692D37F803	0	1	0	20210901
005801FF0001005005D300692D37F816	1	0	0	20210901
005801FF0001005005D300692D37F8A7	1	0	0	20210901
005801FF0001005005D300692D37F8BF	0	0	1	20210901
005801FF0001005005D300692D37F8D3	0	1	0	20210901
005801FF0001005005D300692D37F968	0	1	0	20210901
005801FF0001005005D300692D37FA30	1	0	0	20210901
005801FF0001005005D300692D37FA34	1	0	0	20210901
005801FF0001005005D300692D37FA3E	0	1	0	20210901
005801FF0001005005D300692D37FA46	1	0	0	20210901
005801FF0001005005D300692D37FAD1	0	1	0	20210901
005801FF0001005005D300692D37FADD	1	0	0	20210901
005801FF0001005005D300692D37FB72	0	1	0	20210901
005801FF0001005005D300692D37FBDA	0	1	0	20210901
005801FF0001005005D300692D37FC26	1	0	0	20210901
005801FF0001005005D300692D37FC39	0	1	0	20210901
005801FF0001005005D300692D37FC51	0	1	0	20210901
005801FF0001005005D300692D37FCB5	1	0	0	20210901
005801FF0001005005D300692D37FCB7	0	1	0	20210901
005801FF0001005005D300692D37FD32	0	1	0	20210901
005801FF0001005005D300692D37FDD3	1	0	0	20210901
005801FF0001005005D300692D37FE4D	0	1	0	20210901
005801FF0001005005D300692D37FE90	0	1	0	20210901
005801FF0001005005D300692D37FEB5	0	1	0	20210901
005801FF0001005005D300692D37FEF9	1	1	0	20210901
005801FF0001005005D300692D37FF0F	1	0	0	20210901
005801FF0001005005D300692D37FF5D	1	0	0	20210901
005801FF0001005005D300692D37FFBA	0	1	0	20210901
005801FF0001005005D300692D37FFDA	1	0	0	20210901
005801FF0001005005D300692D380061	1	1	0	20210901
005801FF0001005005D300692D3800FC	0	1	0	20210901
005801FF0001005005D300692D38013D	0	1	0	20210901
