htv_channel_dm.deviceid	htv_channel_dm.channelname	htv_channel_dm.play_duration	htv_channel_dm.date_time
005801FF0001005005D300692D37D310	湖南卫	NULL	20210901
视	112.0	NULL	20210901
005801FF0001005005D300692D37D315	CCTV10	2.0	20210901
005801FF0001005005D300692D37D315	CCTV15	1.0	20210901
005801FF0001005005D300692D37D315	CCTV4	32.0	20210901
005801FF0001005005D300692D37D315	CCTV7	0.0	20210901
005801FF0001005005D300692D37D315	CCTV9	2.0	20210901
005801FF0001005005D300692D37D315	北京卫	NULL	20210901
视	21.0	NULL	20210901
005801FF0001005005D300692D37D315	安徽卫	NULL	20210901
视	39.0	NULL	20210901
005801FF0001005005D300692D37D315	河北卫	NULL	20210901
视	0.0	NULL	20210901
005801FF0001005005D300692D37D315	河南卫	NULL	20210901
视	0.0	NULL	20210901
005801FF0001005005D300692D37D319	CCTV14	3.0	20210901
005801FF0001005005D300692D37D319	其他直播频道	3609.0	20210901
005801FF0001005005D300692D37D31A	CCTV1	3609.0	20210901
005801FF0001005005D300692D37D324	CCTV12	0.0	20210901
005801FF0001005005D300692D37D324	CCTV14	0.0	20210901
005801FF0001005005D300692D37D324	CCTV17	2.0	20210901
005801FF0001005005D300692D37D324	其他直播频道	3215.0	20210901
005801FF0001005005D300692D37D324	江苏卫	NULL	20210901
视	3609.0	NULL	20210901
005801FF0001005005D300692D37D324	湖南卫	NULL	20210901
视	4.0	NULL	20210901
005801FF0001005005D300692D37D32E	CCTV9	11.0	20210901
005801FF0001005005D300692D37D331	CCTV2	470.0	20210901
005801FF0001005005D300692D37D331	CCTV5	0.0	20210901
005801FF0001005005D300692D37D331	东南卫	NULL	20210901
视	0.0	NULL	20210901
005801FF0001005005D300692D37D331	湖北卫	NULL	20210901
视	0.0	NULL	20210901
005801FF0001005005D300692D37D33D	CCTV9	9.0	20210901
005801FF0001005005D300692D37D33D	北京卫	NULL	20210901
视	35.0	NULL	20210901
005801FF0001005005D300692D37D33D	吉林卫	NULL	20210901
视	11.0	NULL	20210901
005801FF0001005005D300692D37D344	CCTV12	9.0	20210901
005801FF0001005005D300692D37D344	CCTV4	3725.0	20210901
005801FF0001005005D300692D37D344	CCTV9	414.0	20210901
005801FF0001005005D300692D37D344	其他直播频道	18818.0	20210901
005801FF0001005005D300692D37D344	浙江卫	NULL	20210901
视	2576.0	NULL	20210901
005801FF0001005005D300692D37D349	CCTV1	0.0	20210901
005801FF0001005005D300692D37D349	CCTV12	0.0	20210901
005801FF0001005005D300692D37D349	CCTV8	0.0	20210901
005801FF0001005005D300692D37D358	CCTV1	3611.0	20210901
005801FF0001005005D300692D37D362	CCTV4	0.0	20210901
005801FF0001005005D300692D37D362	CCTV5	0.0	20210901
005801FF0001005005D300692D37D362	其他直播频道	17.0	20210901
005801FF0001005005D300692D37D36A	CCTV1	3609.0	20210901
005801FF0001005005D300692D37D378	CCTV11	2.0	20210901
005801FF0001005005D300692D37D378	CCTV6	2.0	20210901
005801FF0001005005D300692D37D378	CCTV7	2.0	20210901
005801FF0001005005D300692D37D379	东南卫	NULL	20210901
视	0.0	NULL	20210901
005801FF0001005005D300692D37D379	其他直播频道	3613.0	20210901
005801FF0001005005D300692D37D379	天津卫	NULL	20210901
视	0.0	NULL	20210901
005801FF0001005005D300692D37D379	江西卫	NULL	20210901
视	1.0	NULL	20210901
005801FF0001005005D300692D37D379	湖南卫	NULL	20210901
视	2.0	NULL	20210901
005801FF0001005005D300692D37D379	贵州卫	NULL	20210901
视	0.0	NULL	20210901
005801FF0001005005D300692D37D379	重庆卫	NULL	20210901
视	0.0	NULL	20210901
005801FF0001005005D300692D37D37B	CCTV1	1495.0	20210901
005801FF0001005005D300692D37D37B	CCTV3	20.0	20210901
005801FF0001005005D300692D37D381	CCTV1	8.0	20210901
005801FF0001005005D300692D37D383	CCTV12	4.0	20210901
005801FF0001005005D300692D37D383	CCTV5	32.0	20210901
005801FF0001005005D300692D37D383	CCTV9	4.0	20210901
005801FF0001005005D300692D37D389	CCTV10	188.0	20210901
005801FF0001005005D300692D37D389	CCTV17	104.0	20210901
005801FF0001005005D300692D37D38A	其他直播频道	5913.0	20210901
005801FF0001005005D300692D37D38A	天津卫	NULL	20210901
视	7.0	NULL	20210901
005801FF0001005005D300692D37D38A	山西卫	NULL	20210901
视	1037.0	NULL	20210901
005801FF0001005005D300692D37D38A	江西卫	NULL	20210901
视	2.0	NULL	20210901
005801FF0001005005D300692D37D38A	浙江卫	NULL	20210901
视	11.0	NULL	20210901
005801FF0001005005D300692D37D38A	重庆卫	NULL	20210901
视	1.0	NULL	20210901
005801FF0001005005D300692D37D38D	CCTV17	13.0	20210901
005801FF0001005005D300692D37D38D	CCTV3	43.0	20210901
005801FF0001005005D300692D37D38D	CCTV4	2.0	20210901
005801FF0001005005D300692D37D38D	CCTV8	0.0	20210901
005801FF0001005005D300692D37D3AE	CCTV10	5.0	20210901
005801FF0001005005D300692D37D3AE	CCTV12	10.0	20210901
005801FF0001005005D300692D37D3AE	CCTV3	15.0	20210901
005801FF0001005005D300692D37D3AE	辽宁卫	NULL	20210901
视	0.0	NULL	20210901
005801FF0001005005D300692D37D3B1	CCTV13	289.0	20210901
005801FF0001005005D300692D37D3B1	CCTV8	2.0	20210901
005801FF0001005005D300692D37D3B1	东南卫	NULL	20210901
视	1077.0	NULL	20210901
005801FF0001005005D300692D37D3B1	内蒙古卫视	0.0	20210901
005801FF0001005005D300692D37D3B1	北京卫	NULL	20210901
视	0.0	NULL	20210901
005801FF0001005005D300692D37D3B1	山西卫	NULL	20210901
视	1.0	NULL	20210901
005801FF0001005005D300692D37D3B1	江苏卫	NULL	20210901
视	6.0	NULL	20210901
005801FF0001005005D300692D37D3B1	湖南卫	NULL	20210901
视	1.0	NULL	20210901
005801FF0001005005D300692D37D3B1	重庆卫	NULL	20210901
视	2.0	NULL	20210901
005801FF0001005005D300692D37D3D5	CCTV1	169.0	20210901
005801FF0001005005D300692D37D3D5	CCTV17	3.0	20210901
005801FF0001005005D300692D37D3D5	CCTV2	0.0	20210901
005801FF0001005005D300692D37D3D5	CCTV6	0.0	20210901
005801FF0001005005D300692D37D3D5	CCTV8	3.0	20210901
005801FF0001005005D300692D37D3DE	CCTV2	1.0	20210901
005801FF0001005005D300692D37D3DE	东南卫	NULL	20210901
视	2008.0	NULL	20210901
005801FF0001005005D300692D37D3DE	北京卫	NULL	20210901
视	21.0	NULL	20210901
005801FF0001005005D300692D37D3DE	宁夏卫	NULL	20210901
视	2.0	NULL	20210901
005801FF0001005005D300692D37D3DE	安徽卫	NULL	20210901
视	15.0	NULL	20210901
005801FF0001005005D300692D37D3DE	广东卫	NULL	20210901
视	4010.0	NULL	20210901
005801FF0001005005D300692D37D3DE	广西卫	NULL	20210901
视	4.0	NULL	20210901
005801FF0001005005D300692D37D3DE	重庆卫	NULL	20210901
视	3.0	NULL	20210901
005801FF0001005005D300692D37D3E1	CCTV13	0.0	20210901
005801FF0001005005D300692D37D3E1	CCTV17	2.0	20210901
005801FF0001005005D300692D37D3E1	其他直播频道	307.0	20210901
005801FF0001005005D300692D37D3E7	CCTV1	7219.0	20210901
005801FF0001005005D300692D37D3E7	CCTV2	3618.0	20210901
005801FF0001005005D300692D37D3E7	其他直播频道	722.0	20210901
005801FF0001005005D300692D37D3EC	CCTV14	13.0	20210901
005801FF0001005005D300692D37D3EC	CCTV2	205.0	20210901
005801FF0001005005D300692D37D3EC	CCTV6	354.0	20210901
005801FF0001005005D300692D37D3EC	吉林卫	NULL	20210901
视	4.0	NULL	20210901
005801FF0001005005D300692D37D3EC	山西卫	NULL	20210901
视	3.0	NULL	20210901
005801FF0001005005D300692D37D3EC	江苏卫	NULL	20210901
视	6.0	NULL	20210901
005801FF0001005005D300692D37D3EC	江西卫	NULL	20210901
视	9.0	NULL	20210901
005801FF0001005005D300692D37D3EC	深圳卫	NULL	20210901
视	2.0	NULL	20210901
005801FF0001005005D300692D37D3EC	重庆卫	NULL	20210901
视	1.0	NULL	20210901
005801FF0001005005D300692D37D3EC	黑龙江卫视	2.0	20210901
005801FF0001005005D300692D37D3EE	安徽卫	NULL	20210901
视	0.0	NULL	20210901
005801FF0001005005D300692D37D3EE	河南卫	NULL	20210901
视	27.0	NULL	20210901
005801FF0001005005D300692D37D3EE	湖北卫	NULL	20210901
视	0.0	NULL	20210901
005801FF0001005005D300692D37D404	CCTV10	28.0	20210901
005801FF0001005005D300692D37D404	CCTV4	127.0	20210901
005801FF0001005005D300692D37D404	山东卫	NULL	20210901
视	2.0	NULL	20210901
005801FF0001005005D300692D37D404	江西卫	NULL	20210901
视	3609.0	NULL	20210901
005801FF0001005005D300692D37D404	湖北卫	NULL	20210901
视	3.0	NULL	20210901
005801FF0001005005D300692D37D414	CCTV7	0.0	20210901
005801FF0001005005D300692D37D415	CCTV14	0.0	20210901
005801FF0001005005D300692D37D415	CCTV15	0.0	20210901
005801FF0001005005D300692D37D415	广东卫	NULL	20210901
视	3608.0	NULL	20210901
005801FF0001005005D300692D37D422	CCTV4	982.0	20210901
005801FF0001005005D300692D37D422	CCTV7	7.0	20210901
005801FF0001005005D300692D37D422	CCTV9	809.0	20210901
005801FF0001005005D300692D37D423	CCTV13	2.0	20210901
005801FF0001005005D300692D37D423	深圳卫	NULL	20210901
视	1.0	NULL	20210901
005801FF0001005005D300692D37D426	CCTV10	55.0	20210901
005801FF0001005005D300692D37D426	CCTV8	26.0	20210901
005801FF0001005005D300692D37D426	东南卫	NULL	20210901
视	2448.0	NULL	20210901
005801FF0001005005D300692D37D426	深圳卫	NULL	20210901
视	4.0	NULL	20210901
005801FF0001005005D300692D37D426	重庆卫	NULL	20210901
视	1.0	NULL	20210901
005801FF0001005005D300692D37D426	黑龙江卫视	9.0	20210901
005801FF0001005005D300692D37D427	CCTV10	241.0	20210901
005801FF0001005005D300692D37D427	CCTV11	5.0	20210901
005801FF0001005005D300692D37D427	CCTV14	2.0	20210901
005801FF0001005005D300692D37D427	CCTV4	10.0	20210901
005801FF0001005005D300692D37D427	CCTV5	259.0	20210901
005801FF0001005005D300692D37D427	CCTV7	748.0	20210901
005801FF0001005005D300692D37D427	CCTV9	142.0	20210901
005801FF0001005005D300692D37D427	广东卫	NULL	20210901
视	3.0	NULL	20210901
005801FF0001005005D300692D37D427	深圳卫	NULL	20210901
视	2.0	NULL	20210901
005801FF0001005005D300692D37D429	CCTV4	5834.0	20210901
005801FF0001005005D300692D37D429	CCTV5	4.0	20210901
005801FF0001005005D300692D37D429	其他直播频道	257.0	20210901
005801FF0001005005D300692D37D42A	CCTV12	18.0	20210901
005801FF0001005005D300692D37D42A	CCTV8	38.0	20210901
005801FF0001005005D300692D37D433	CCTV5	19.0	20210901
005801FF0001005005D300692D37D433	CCTV6	32.0	20210901
005801FF0001005005D300692D37D433	CCTV7	13.0	20210901
005801FF0001005005D300692D37D43A	CCTV10	30.0	20210901
005801FF0001005005D300692D37D43A	CCTV2	22.0	20210901
005801FF0001005005D300692D37D43E	其他直播频道	3609.0	20210901
005801FF0001005005D300692D37D440	CCTV15	4.0	20210901
005801FF0001005005D300692D37D440	山西卫	NULL	20210901
视	18.0	NULL	20210901
005801FF0001005005D300692D37D445	CCTV10	1.0	20210901
005801FF0001005005D300692D37D445	CCTV4	0.0	20210901
005801FF0001005005D300692D37D447	CCTV9	1.0	20210901
005801FF0001005005D300692D37D447	江苏卫	NULL	20210901
视	1.0	NULL	20210901
005801FF0001005005D300692D37D44F	其他直播频道	3616.0	20210901
005801FF0001005005D300692D37D451	CCTV6	13.0	20210901
005801FF0001005005D300692D37D451	CCTV7	9.0	20210901
005801FF0001005005D300692D37D451	其他直播频道	7107.0	20210901
005801FF0001005005D300692D37D451	内蒙古卫视	708.0	20210901
005801FF0001005005D300692D37D451	吉林卫	NULL	20210901
视	82.0	NULL	20210901
005801FF0001005005D300692D37D451	山东卫	NULL	20210901
视	4.0	NULL	20210901
005801FF0001005005D300692D37D451	江苏卫	NULL	20210901
视	4.0	NULL	20210901
005801FF0001005005D300692D37D451	深圳卫	NULL	20210901
视	3.0	NULL	20210901
005801FF0001005005D300692D37D451	湖南卫	NULL	20210901
视	7.0	NULL	20210901
005801FF0001005005D300692D37D451	贵州卫	NULL	20210901
视	8.0	NULL	20210901
005801FF0001005005D300692D37D459	CCTV14	4.0	20210901
005801FF0001005005D300692D37D459	CCTV17	104.0	20210901
005801FF0001005005D300692D37D459	浙江卫	NULL	20210901
视	4.0	NULL	20210901
005801FF0001005005D300692D37D465	CCTV1	8.0	20210901
005801FF0001005005D300692D37D465	CCTV2	6.0	20210901
005801FF0001005005D300692D37D465	广西卫	NULL	20210901
视	0.0	NULL	20210901
005801FF0001005005D300692D37D465	江西卫	NULL	20210901
视	2.0	NULL	20210901
005801FF0001005005D300692D37D465	浙江卫	NULL	20210901
视	0.0	NULL	20210901
005801FF0001005005D300692D37D465	深圳卫	NULL	20210901
视	1.0	NULL	20210901
005801FF0001005005D300692D37D465	辽宁卫	NULL	20210901
视	2.0	NULL	20210901
005801FF0001005005D300692D37D467	CCTV10	4.0	20210901
005801FF0001005005D300692D37D467	CCTV2	43.0	20210901
005801FF0001005005D300692D37D467	CCTV4	68.0	20210901
005801FF0001005005D300692D37D467	CCTV6	51.0	20210901
005801FF0001005005D300692D37D467	CCTV7	7.0	20210901
005801FF0001005005D300692D37D467	深圳卫	NULL	20210901
视	1.0	NULL	20210901
005801FF0001005005D300692D37D467	辽宁卫	NULL	20210901
视	13.0	NULL	20210901
005801FF0001005005D300692D37D46B	CCTV13	1.0	20210901
005801FF0001005005D300692D37D46B	CCTV5	3.0	20210901
005801FF0001005005D300692D37D46B	其他直播频道	3617.0	20210901
005801FF0001005005D300692D37D46E	CCTV1	8.0	20210901
005801FF0001005005D300692D37D46E	CCTV15	0.0	20210901
005801FF0001005005D300692D37D46E	CCTV2	1.0	20210901
005801FF0001005005D300692D37D46F	CCTV15	0.0	20210901
005801FF0001005005D300692D37D46F	CCTV4	1.0	20210901
005801FF0001005005D300692D37D46F	CCTV8	1.0	20210901
005801FF0001005005D300692D37D46F	CCTV9	18.0	20210901
005801FF0001005005D300692D37D46F	辽宁卫	NULL	20210901
视	29.0	NULL	20210901
005801FF0001005005D300692D37D498	CCTV12	90.0	20210901
005801FF0001005005D300692D37D498	CCTV13	3766.0	20210901
005801FF0001005005D300692D37D498	CCTV15	160.0	20210901
005801FF0001005005D300692D37D498	CCTV3	21.0	20210901
005801FF0001005005D300692D37D498	云南卫	NULL	20210901
视	119.0	NULL	20210901
005801FF0001005005D300692D37D498	吉林卫	NULL	20210901
视	57.0	NULL	20210901
005801FF0001005005D300692D37D498	山西卫	NULL	20210901
视	3715.0	NULL	20210901
005801FF0001005005D300692D37D498	浙江卫	NULL	20210901
视	6.0	NULL	20210901
005801FF0001005005D300692D37D49A	CCTV13	384.0	20210901
005801FF0001005005D300692D37D49A	CCTV15	12.0	20210901
005801FF0001005005D300692D37D49A	广东卫	NULL	20210901
视	5.0	NULL	20210901
005801FF0001005005D300692D37D4A8	CCTV11	3619.0	20210901
005801FF0001005005D300692D37D4A8	CCTV13	2650.0	20210901
005801FF0001005005D300692D37D4A8	CCTV2	4.0	20210901
005801FF0001005005D300692D37D4A8	CCTV5	8.0	20210901
005801FF0001005005D300692D37D4A8	北京卫	NULL	20210901
视	20.0	NULL	20210901
005801FF0001005005D300692D37D4A8	广西卫	NULL	20210901
视	466.0	NULL	20210901
005801FF0001005005D300692D37D4A8	贵州卫	NULL	20210901
视	1613.0	NULL	20210901
005801FF0001005005D300692D37D4A8	辽宁卫	NULL	20210901
视	405.0	NULL	20210901
005801FF0001005005D300692D37D4AD	CCTV10	26.0	20210901
005801FF0001005005D300692D37D4AD	CCTV14	271.0	20210901
005801FF0001005005D300692D37D4AD	CCTV2	0.0	20210901
005801FF0001005005D300692D37D4AD	CCTV8	0.0	20210901
005801FF0001005005D300692D37D4B1	CCTV1	7270.0	20210901
005801FF0001005005D300692D37D4B3	CCTV11	0.0	20210901
005801FF0001005005D300692D37D4B3	CCTV15	0.0	20210901
005801FF0001005005D300692D37D4B3	CCTV5	0.0	20210901
005801FF0001005005D300692D37D4B9	CCTV17	1.0	20210901
005801FF0001005005D300692D37D4B9	云南卫	NULL	20210901
视	3.0	NULL	20210901
005801FF0001005005D300692D37D4B9	山西卫	NULL	20210901
视	4.0	NULL	20210901
005801FF0001005005D300692D37D4B9	河南卫	NULL	20210901
视	6.0	NULL	20210901
005801FF0001005005D300692D37D4B9	重庆卫	NULL	20210901
视	8.0	NULL	20210901
