htv_region_dm.deviceid	htv_region_dm.city	htv_region_dm.province	htv_region_dm.date_time
00500300000351800038748F1BDA58C6	0931	58	20210901
00500300000355500057748F1B0C6B90	0931	58	20210901
005801FF0001005005D300692D37D275	0939	58	20210901
005801FF0001005005D300692D37D287	0933	58	20210901
005801FF0001005005D300692D37D2E8	0933	58	20210901
005801FF0001005005D300692D37D310	0938	58	20210901
005801FF0001005005D300692D37D339	0933	58	20210901
005801FF0001005005D300692D37D33D	0938	58	20210901
005801FF0001005005D300692D37D34F	0939	58	20210901
005801FF0001005005D300692D37D35D	0938	58	20210901
005801FF0001005005D300692D37D3DE	0938	58	20210901
005801FF0001005005D300692D37D3E0	0938	58	20210901
005801FF0001005005D300692D37D3E7	0933	58	20210901
005801FF0001005005D300692D37D445	0938	58	20210901
005801FF0001005005D300692D37D447	0933	58	20210901
005801FF0001005005D300692D37D451	0938	58	20210901
005801FF0001005005D300692D37D467	0933	58	20210901
005801FF0001005005D300692D37D46F	0933	58	20210901
005801FF0001005005D300692D37D498	0938	58	20210901
005801FF0001005005D300692D37D49A	0933	58	20210901
005801FF0001005005D300692D37D4CA	0939	58	20210901
005801FF0001005005D300692D37D580	0938	58	20210901
005801FF0001005005D300692D37D584	0938	58	20210901
005801FF0001005005D300692D37D599	0938	58	20210901
005801FF0001005005D300692D37D5B3	0938	58	20210901
005801FF0001005005D300692D37D5B7	0938	58	20210901
005801FF0001005005D300692D37D5DF	0938	58	20210901
005801FF0001005005D300692D37D601	0938	58	20210901
005801FF0001005005D300692D37D659	0933	58	20210901
005801FF0001005005D300692D37D682	0938	58	20210901
005801FF0001005005D300692D37D6B6	0938	58	20210901
005801FF0001005005D300692D37D6C1	0933	58	20210901
005801FF0001005005D300692D37D6C8	0938	58	20210901
005801FF0001005005D300692D37D6D1	0939	58	20210901
005801FF0001005005D300692D37D6D4	0939	58	20210901
005801FF0001005005D300692D37D6F3	0938	58	20210901
005801FF0001005005D300692D37D703	0933	58	20210901
005801FF0001005005D300692D37D70E	0933	58	20210901
