htv_content_prefer_dm.deviceid	htv_content_prefer_dm.contenttype	htv_content_prefer_dm.hourtype	htv_content_prefer_dm.ranks	htv_content_prefer_dm.date_time
005801FF0001005005D300692D37FE3A	电视剧	4	1	20210901
005801FF0001005005D300692D37FE6A	电影	1	1	20210901
005801FF0001005005D300692D37FE6A	综艺	1	2	20210901
005801FF0001005005D300692D37FE6A	电视剧	1	3	20210901
005801FF0001005005D300692D37FE6A	电影	4	1	20210901
005801FF0001005005D300692D37FE6A	综艺	4	2	20210901
005801FF0001005005D300692D37FE80	综艺	4	1	20210901
005801FF0001005005D300692D37FE90	电视剧	4	1	20210901
005801FF0001005005D300692D37FEB5	电视剧	1	1	20210901
005801FF0001005005D300692D37FEB5	电视剧	4	1	20210901
005801FF0001005005D300692D37FF47	动漫	1	1	20210901
005801FF0001005005D300692D37FF5D	电影	1	1	20210901
005801FF0001005005D300692D37FF5D	综艺	1	2	20210901
005801FF0001005005D300692D37FF5D	电影	3	1	20210901
005801FF0001005005D300692D37FF87	电视剧	1	1	20210901
005801FF0001005005D300692D37FFA0	少儿	4	1	20210901
005801FF0001005005D300692D37FFBA	电视剧	1	1	20210901
005801FF0001005005D300692D37FFDA	电影	1	1	20210901
005801FF0001005005D300692D37FFDA	综艺	1	2	20210901
005801FF0001005005D300692D37FFEB	动漫	3	1	20210901
005801FF0001005005D300692D37FFEB	动漫	4	1	20210901
005801FF0001005005D300692D37FFFB	动漫	1	1	20210901
005801FF0001005005D300692D37FFFB	动漫	3	1	20210901
005801FF0001005005D300692D37FFFB	动漫	4	1	20210901
005801FF0001005005D300692D38003E	新闻	1	1	20210901
005801FF0001005005D300692D38003E	新闻	2	1	20210901
005801FF0001005005D300692D38008F	电影	4	1	20210901
005801FF0001005005D300692D3800FC	电视剧	4	1	20210901
005801FF0001005005D300692D38013D	电视剧	1	1	20210901
005801FF0001005005D300692D38013D	电视剧	4	1	20210901
005801FF0001005005D300692D3801BE	动漫	1	1	20210901
005801FF0001005005D300692D3801CA	电视剧	1	1	20210901
005801FF0001005005D300692D3801CA	电视剧	4	1	20210901
005801FF0001005005D300692D380231	动漫	1	1	20210901
005801FF0001005005D300692D380231	动漫	3	1	20210901
005801FF0001005005D300692D380271	综艺	1	1	20210901
005801FF0001005005D300692D3802FE	电视剧	1	1	20210901
005801FF0001005005D300692D3802FE	电视剧	2	1	20210901
005801FF0001005005D300692D3802FE	电视剧	4	1	20210901
005801FF0001005005D300692D380325	电影	4	1	20210901
005801FF0001005005D300692D380345	电视剧	3	1	20210901
005801FF0001005005D300692D380345	电视剧	4	1	20210901
005801FF0001005005D300692D38036B	动漫	1	1	20210901
005801FF0001005005D300692D38036B	综艺	1	2	20210901
005801FF0001005005D300692D38036B	综艺	4	1	20210901
005801FF0001005005D300692D38036B	动漫	4	2	20210901
005801FF0001005005D300692D380413	电视剧	1	1	20210901
005801FF0001005005D300692D38045E	电影	1	1	20210901
005801FF0001005005D300692D38048F	电视剧	1	1	20210901
005801FF0001005005D300692D38048F	电视剧	3	1	20210901
005801FF0001005005D300692D38048F	电视剧	4	1	20210901
005801FF0001005005D300692D3805D0	电影	1	1	20210901
005801FF0001005005D300692D3805D0	动漫	1	2	20210901
005801FF0001005005D300692D3805D0	动漫	4	1	20210901
005801FF0001005005D300692D3805D0	电影	4	2	20210901
005801FF0001005005D300692D380626	电视剧	1	1	20210901
005801FF0001005005D300692D380626	电视剧	4	1	20210901
005801FF0001005005D300692D3806DE	动漫	1	1	20210901
005801FF0001005005D300692D3806DE	动漫	2	1	20210901
005801FF0001005005D300692D380735	电视剧	1	1	20210901
005801FF0001005005D300692D380735	电视剧	3	1	20210901
005801FF0001005005D300692D380775	综艺	1	1	20210901
005801FF0001005005D300692D380775	电影	1	2	20210901
005801FF0001005005D300692D3807AD	电影	1	1	20210901
005801FF0001005005D300692D38085F	电视剧	1	1	20210901
005801FF0001005005D300692D38085F	电视剧	4	1	20210901
005801FF0001005005D300692D3808E6	电视剧	1	1	20210901
005801FF0001005005D300692D3808E6	电视剧	2	1	20210901
005801FF0001005005D300692D3808E6	电视剧	3	1	20210901
005801FF0001005005D300692D3808E6	电视剧	4	1	20210901
005801FF0001005005D300692D380948	综艺	3	1	20210901
005801FF0001005005D300692D380948	电影	3	2	20210901
005801FF0001005005D300692D3809B0	电视剧	1	1	20210901
005801FF0001005005D300692D3809B0	电视剧	4	1	20210901
005801FF0001005005D300692D380B2D	动漫	1	1	20210901
005801FF0001005005D300692D380B5E	电视剧	1	1	20210901
005801FF0001005005D300692D380B5E	电视剧	3	1	20210901
005801FF0001005005D300692D380B5E	电视剧	4	1	20210901
005801FF0001005005D300692D380BD5	新闻	1	1	20210901
005801FF0001005005D300692D380C06	电视剧	1	1	20210901
005801FF0001005005D300692D380C06	电视剧	4	1	20210901
005801FF0001005005D300692D380C5D	综艺	1	1	20210901
005801FF0001005005D300692D380C5D	动漫	1	2	20210901
005801FF0001005005D300692D380C5D	综艺	4	1	20210901
005801FF0001005005D300692D380C5D	动漫	4	2	20210901
005801FF0001005005D300692D380CAA	综艺	1	1	20210901
005801FF0001005005D300692D380CAA	综艺	4	1	20210901
005801FF0001005005D300692D380D35	电视剧	1	1	20210901
005801FF0001005005D300692D380D35	电视剧	3	1	20210901
005801FF0001005005D300692D380D7C	电视剧	1	1	20210901
005801FF0001005005D300692D380D7C	电视剧	2	1	20210901
005801FF0001005005D300692D380D7C	电视剧	3	1	20210901
005801FF0001005005D300692D380D7C	电视剧	4	1	20210901
005801FF0001005005D300692D380DC3	综艺	4	1	20210901
005801FF0001005005D300692D380E0A	电视剧	1	1	20210901
005801FF0001005005D300692D380E2F	电视剧	1	1	20210901
005801FF0001005005D300692D380E2F	电视剧	2	1	20210901
005801FF0001005005D300692D380E2F	电视剧	3	1	20210901
005801FF0001005005D300692D380E2F	电视剧	4	1	20210901
005801FF0001005005D300692D380E5F	动漫	1	1	20210901
005801FF0001005005D300692D380E5F	动漫	3	1	20210901
005801FF0001005005D300692D380E69	电影	1	1	20210901
005801FF0001005005D300692D380E69	电影	4	1	20210901
005801FF0001005005D300692D380F0E	电视剧	1	1	20210901
005801FF0001005005D300692D380F0E	电视剧	4	1	20210901
005801FF0001005005D300692D380F4E	动漫	1	1	20210901
005801FF0001005005D300692D380F4E	电影	1	2	20210901
005801FF0001005005D300692D380F4E	电影	3	1	20210901
005801FF0001005005D300692D380F4E	动漫	3	2	20210901
005801FF0001005005D300692D380F4E	动漫	4	1	20210901
005801FF0001005005D300692D380FBB	综艺	1	1	20210901
005801FF0001005005D300692D380FBB	综艺	3	1	20210901
005801FF0001005005D300692D380FEC	电视剧	4	1	20210901
005801FF0001005005D300692D381003	电影	1	1	20210901
005801FF0001005005D300692D381003	电影	4	1	20210901
005801FF0001005005D300692D381054	电视剧	4	1	20210901
005801FF0001005005D300692D38105A	动漫	1	1	20210901
005801FF0001005005D300692D38105A	动漫	4	1	20210901
005801FF0001005005D300692D38105E	电影	1	1	20210901
005801FF0001005005D300692D38105E	电影	3	1	20210901
005801FF0001005005D300692D3810AB	电影	1	1	20210901
005801FF0001005005D300692D3810AB	电影	4	1	20210901
005801FF0001005005D300692D381116	电视剧	1	1	20210901
005801FF0001005005D300692D381122	电影	1	1	20210901
005801FF0001005005D300692D381122	电视剧	4	1	20210901
005801FF0001005005D300692D381122	电影	4	2	20210901
005801FF0001005005D300692D3811BF	电影	3	1	20210901
005801FF0001005005D300692D3811BF	综艺	4	1	20210901
005801FF0001005005D300692D381205	动漫	1	1	20210901
005801FF0001005005D300692D381205	动漫	3	1	20210901
005801FF0001005005D300692D3812C3	电影	1	1	20210901
005801FF0001005005D300692D3812C3	动漫	1	2	20210901
005801FF0001005005D300692D3812C3	少儿	1	3	20210901
005801FF0001005005D300692D3812C3	动漫	3	1	20210901
005801FF0001005005D300692D3812C3	动漫	4	1	20210901
005801FF0001005005D300692D3812C3	少儿	4	2	20210901
005801FF0001005005D300692D3812C3	电影	4	3	20210901
005801FF0001005005D300692D3812CE	电视剧	1	1	20210901
005801FF0001005005D300692D3812CE	电视剧	4	1	20210901
005801FF0001005005D300692D381379	电视剧	1	1	20210901
005801FF0001005005D300692D381479	电视剧	3	1	20210901
005801FF0001005005D300692D381479	电视剧	4	1	20210901
005801FF0001005005D300692D3814A5	动漫	1	1	20210901
005801FF0001005005D300692D3814A5	动漫	4	1	20210901
005801FF0001005005D300692D3814CC	综艺	1	1	20210901
005801FF0001005005D300692D3814CC	综艺	4	1	20210901
005801FF0001005005D300692D3814F1	动漫	1	1	20210901
005801FF0001005005D300692D3814F1	动漫	3	1	20210901
005801FF0001005005D300692D3815A0	动漫	1	1	20210901
005801FF0001005005D300692D3815A0	电影	1	2	20210901
005801FF0001005005D300692D3815A0	动漫	3	1	20210901
005801FF0001005005D300692D3815A0	电影	4	1	20210901
005801FF0001005005D300692D3815A0	动漫	4	2	20210901
005801FF0001005005D300692D3815D0	综艺	1	1	20210901
005801FF0001005005D300692D3815D0	综艺	2	1	20210901
005801FF0001005005D300692D3815D0	综艺	3	1	20210901
005801FF0001005005D300692D3815D0	综艺	4	1	20210901
005801FF0001005005D300692D381611	动漫	1	1	20210901
005801FF0001005005D300692D381611	动漫	2	1	20210901
005801FF0001005005D300692D38168D	电影	1	1	20210901
005801FF0001005005D300692D3816FE	电视剧	1	1	20210901
005801FF0001005005D300692D381731	电视剧	2	1	20210901
005801FF0001005005D300692D381731	电视剧	3	1	20210901
005801FF0001005005D300692D381731	电视剧	4	1	20210901
005801FF0001005005D300692D381786	电视剧	4	1	20210901
005801FF0001005005D300692D38179C	电视剧	1	1	20210901
005801FF0001005005D300692D38179C	动漫	1	2	20210901
005801FF0001005005D300692D38179C	电视剧	2	1	20210901
005801FF0001005005D300692D38179C	动漫	3	1	20210901
005801FF0001005005D300692D38179C	电视剧	3	2	20210901
005801FF0001005005D300692D38179C	电视剧	4	1	20210901
005801FF0001005005D300692D38179C	动漫	4	2	20210901
005801FF0001005005D300692D38181A	动漫	1	1	20210901
005801FF0001005005D300692D38181A	动漫	3	1	20210901
005801FF0001005005D300692D38181A	动漫	4	1	20210901
005801FF0001005005D300692D38199A	电视剧	1	1	20210901
005801FF0001005005D300692D38199A	电视剧	4	1	20210901
005801FF0001005005D300692D3819C0	动漫	1	1	20210901
005801FF0001005005D300692D3819C0	动漫	2	1	20210901
005801FF0001005005D300692D381A40	综艺	4	1	20210901
005801FF0001005005D300692D381A4A	动漫	1	1	20210901
005801FF0001005005D300692D381A4A	动漫	2	1	20210901
005801FF0001005005D300692D381B2E	电视剧	3	1	20210901
005801FF0001005005D300692D381B2E	综艺	3	2	20210901
005801FF0001005005D300692D381B53	动漫	1	1	20210901
005801FF0001005005D300692D381B53	动漫	3	1	20210901
005801FF0001005005D300692D381B6A	电视剧	4	1	20210901
005801FF0001005005D300692D381B6A	动漫	4	2	20210901
005801FF0001005005D300692D381B7E	电影	1	1	20210901
005801FF0001005005D300692D381B7E	电影	4	1	20210901
005801FF0001005005D300692D381BC9	电视剧	1	1	20210901
005801FF0001005005D300692D381BC9	电视剧	2	1	20210901
005801FF0001005005D300692D381BC9	电视剧	3	1	20210901
005801FF0001005005D300692D381BC9	电视剧	4	1	20210901
005801FF0001005005D300692D381BFB	电影	1	1	20210901
005801FF0001005005D300692D381BFB	动漫	1	2	20210901
005801FF0001005005D300692D381C1C	电视剧	1	1	20210901
005801FF0001005005D300692D381C62	动漫	1	1	20210901
005801FF0001005005D300692D381C62	动漫	2	1	20210901
005801FF0001005005D300692D381CC4	纪实	1	1	20210901
005801FF0001005005D300692D381CC4	电影	1	2	20210901
005801FF0001005005D300692D381CC4	动漫	1	3	20210901
005801FF0001005005D300692D381CC4	纪实	4	1	20210901
005801FF0001005005D300692D381CC4	动漫	4	2	20210901
005801FF0001005005D300692D381CF4	电视剧	1	1	20210901
005801FF0001005005D300692D381CF4	电视剧	3	1	20210901
005801FF0001005005D300692D381D25	动漫	1	1	20210901
005801FF0001005005D300692D381D25	动漫	2	1	20210901
005801FF0001005005D300692D381D25	动漫	3	1	20210901
005801FF0001005005D300692D381D31	电视剧	1	1	20210901
005801FF0001005005D300692D381D31	电视剧	3	1	20210901
005801FF0001005005D300692D381D31	电视剧	4	1	20210901
005801FF0001005005D300692D381D6C	电视剧	1	1	20210901
005801FF0001005005D300692D381D6C	纪实	1	2	20210901
005801FF0001005005D300692D381D6C	电影	1	3	20210901
005801FF0001005005D300692D381D6C	电影	3	1	20210901
005801FF0001005005D300692D381D6C	综艺	4	1	20210901
005801FF0001005005D300692D381D6C	电视剧	4	2	20210901
005801FF0001005005D300692D381D6C	电影	4	3	20210901
005801FF0001005005D300692D381D76	电视剧	1	1	20210901
005801FF0001005005D300692D381E00	电影	4	1	20210901
005801FF0001005005D300692D381E8B	电视剧	1	1	20210901
005801FF0001005005D300692D381E95	动漫	1	1	20210901
005801FF0001005005D300692D381E95	动漫	2	1	20210901
005801FF0001005005D300692D381ED2	动漫	1	1	20210901
005801FF0001005005D300692D381ED2	动漫	3	1	20210901
005801FF0001005005D300692D381F44	电视剧	3	1	20210901
005801FF0001005005D300692D381F44	电影	3	2	20210901
005801FF0001005005D300692D381F44	电视剧	4	1	20210901
005801FF0001005005D300692D381F44	动漫	4	2	20210901
005801FF0001005005D300692D381F6A	电影	1	1	20210901
005801FF0001005005D300692D381F6A	电影	4	1	20210901
005801FF0001005005D300692D381FD5	电视剧	1	1	20210901
005801FF0001005005D300692D381FF5	电视剧	1	1	20210901
005801FF0001005005D300692D382028	综艺	3	1	20210901
005801FF0001005005D300692D382028	综艺	4	1	20210901
