htv_serv_basic.deviceid	htv_serv_basic.is_boot	htv_serv_basic.is_play	htv_serv_basic.play_duration	htv_serv_basic.play_num	htv_serv_basic.is_live	htv_serv_basic.live_play_num	htv_serv_basic.live_play_duration	htv_serv_basic.is_demand	htv_serv_basic.demand_play_num	htv_serv_basic.demand_play_duration	htv_serv_basic.is_replay	htv_serv_basic.replay_play_num	htv_serv_basic.replay_play_duration	htv_serv_basic.date_time
005801FF0001005006D400692D3D9F73	1	1	0.2	126	1	126	0.2	0	0	0.0	0	0	0.0	20210901
005801FF0001005006D400692D3DBEC9	1	1	1.0	4	1	4	1.0	0	0	0.0	0	0	0.0	20210901
005801FF00010050F6E52C43BE5CA6DB	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0.0	20210901
005801FF00010050F6E52C43BE5CB629	1	1	0.1	8	1	8	0.1	0	0	0.0	0	0	0.0	20210901
005801FF00010050F6E52C43BE5CBF31	1	1	0.0	8	1	6	0.0	1	2	0.0	0	0	0.0	20210901
005801FF0001007005B860D21C304ABF	1	1	5.2	7	0	0	0.0	1	7	5.2	0	0	0.0	20210901
005801FF0001007005B860D21C305B7D	1	1	2.4	28	1	14	0.3	1	14	2.2	0	0	0.0	20210901
005801FF0001007005B860D21C305BD2	1	1	2.0	9	1	6	0.8	0	0	0.0	1	3	1.1	20210901
005801FF0001007005B860D21C308D7B	1	1	0.2	5	0	0	0.0	1	5	0.2	0	0	0.0	20210901
005801FF0001007005B860D21C309000	1	1	0.0	3	1	3	0.0	0	0	0.0	0	0	0.0	20210901
005801FF0001007005B860D21C30BAE4	1	1	0.0	1	1	1	0.0	0	0	0.0	0	0	0.0	20210901
005801FF0001007005B860D21C30BFA5	1	1	0.4	20	1	20	0.4	0	0	0.0	0	0	0.0	20210901
005801FF0001007005B860D21C30CA93	1	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0.0	20210901
005801FF0001007005BA60D21C5CEE35	1	1	0.0	3	1	3	0.0	0	0	0.0	0	0	0.0	20210901
005801FF0001007005BA60D21C62731C	1	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0.0	20210901
005801FF0001007005BA60D21C628E39	1	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0.0	20210901
005801FF0001007005BA60D21C62B54B	1	1	0.8	49	1	49	0.8	0	0	0.0	0	0	0.0	20210901
005801FF0001007005BB60D21C697EC1	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0.0	20210901
005801FF0001007005C360D21CA7D18B	1	1	0.0	1	1	1	0.0	0	0	0.0	0	0	0.0	20210901
005801FF0001007005C360D21CA82324	1	1	0.1	31	1	31	0.1	0	0	0.0	0	0	0.0	20210901
005801FF0001007005C360D21CA8644F	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0.0	20210901
005801FF0001007005C360D21CA8AE97	1	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0.0	20210901
005801FF0001007005C360D21CA8B56B	1	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0.0	20210901
005801FF0001007006B960D21C4A0776	1	1	0.8	5	1	5	0.8	0	0	0.0	0	0	0.0	20210901
