htv_tv_order_dm.deviceid	htv_tv_order_dm.tv_light_not_order	htv_tv_order_dm.tv_middle_not_order	htv_tv_order_dm.tv_high_not_order	htv_tv_order_dm.date_time
005801FF0001005005D300692D37EFA8	0	1	0	20210901
005801FF0001005005D300692D37F01A	1	0	0	20210901
005801FF0001005005D300692D37F09E	0	0	1	20210901
005801FF0001005005D300692D37F0B8	0	0	1	20210901
005801FF0001005005D300692D37F0F7	0	1	0	20210901
005801FF0001005005D300692D37F10F	1	0	0	20210901
005801FF0001005005D300692D37F117	0	0	1	20210901
005801FF0001005005D300692D37F14D	0	1	0	20210901
005801FF0001005005D300692D37F14F	0	0	1	20210901
005801FF0001005005D300692D37F19B	0	1	0	20210901
005801FF0001005005D300692D37F1C1	0	0	1	20210901
005801FF0001005005D300692D37F1F2	1	0	0	20210901
005801FF0001005005D300692D37F213	1	0	0	20210901
005801FF0001005005D300692D37F28F	1	0	0	20210901
005801FF0001005005D300692D37F296	0	1	0	20210901
005801FF0001005005D300692D37F29C	1	0	0	20210901
005801FF0001005005D300692D37F2A5	0	1	0	20210901
005801FF0001005005D300692D37F2CD	0	1	0	20210901
005801FF0001005005D300692D37F2D9	0	1	0	20210901
005801FF0001005005D300692D37F346	1	0	0	20210901
005801FF0001005005D300692D37F37B	0	1	0	20210901
005801FF0001005005D300692D37F3AA	0	1	0	20210901
005801FF0001005005D300692D37F3C2	0	1	0	20210901
005801FF0001005005D300692D37F3C3	1	0	0	20210901
005801FF0001005005D300692D37F3D0	0	1	0	20210901
005801FF0001005005D300692D37F3D1	0	0	1	20210901
005801FF0001005005D300692D37F3F1	0	1	0	20210901
005801FF0001005005D300692D37F418	0	1	0	20210901
005801FF0001005005D300692D37F41F	0	1	0	20210901
005801FF0001005005D300692D37F428	0	0	1	20210901
005801FF0001005005D300692D37F42D	1	0	0	20210901
005801FF0001005005D300692D37F480	0	1	0	20210901
005801FF0001005005D300692D37F4D8	1	0	0	20210901
005801FF0001005005D300692D37F4DB	0	0	1	20210901
005801FF0001005005D300692D37F587	0	1	0	20210901
005801FF0001005005D300692D37F6AF	1	0	0	20210901
005801FF0001005005D300692D37F6E9	1	0	0	20210901
005801FF0001005005D300692D37F776	0	1	0	20210901
005801FF0001005005D300692D37F7CD	0	0	1	20210901
005801FF0001005005D300692D37F7E1	0	1	0	20210901
005801FF0001005005D300692D37F803	0	1	0	20210901
005801FF0001005005D300692D37F8D3	1	0	0	20210901
005801FF0001005005D300692D37F937	0	1	0	20210901
005801FF0001005005D300692D37F968	1	0	0	20210901
005801FF0001005005D300692D37FA3E	0	0	1	20210901
005801FF0001005005D300692D37FAD1	1	0	0	20210901
005801FF0001005005D300692D37FB72	0	1	0	20210901
005801FF0001005005D300692D37FBDA	0	0	1	20210901
005801FF0001005005D300692D37FC39	0	1	0	20210901
005801FF0001005005D300692D37FC51	1	0	0	20210901
005801FF0001005005D300692D37FCA8	0	0	1	20210901
005801FF0001005005D300692D37FCB7	0	1	0	20210901
005801FF0001005005D300692D37FCBD	0	1	0	20210901
005801FF0001005005D300692D37FD32	0	0	1	20210901
005801FF0001005005D300692D37FD4B	1	0	0	20210901
005801FF0001005005D300692D37FD90	0	1	0	20210901
005801FF0001005005D300692D37FE3A	0	1	0	20210901
005801FF0001005005D300692D37FE4D	1	0	0	20210901
005801FF0001005005D300692D37FE69	1	0	0	20210901
